Region,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
us east 1,Amazon Virtual Private Cloud (VPC),0,954.45,11453.4,USD,Number of NAT Gateways 
us east 1,S3 Standard,0,540.82,6489.84,USD,S3 Standard storage (10 TB per month)
us east 1,Data Transfer,0,0,0,USD,Data Transfer
us east 1,Amazon Virtual Private Cloud (VPC),0,1791.91,21502.92,USD,"Data Transfer, Data transfer cost (1791.91)"
us east 1,Amazon RDS for PostgreSQL,0,5290.066,63480.79,USD,"Quantity (2), Storage volume (Provisioned IOPS SSD (io1)), Provisioning IOPS (1000), Storage amount (6 TB per month), Instance type (db.m5.2xlarge), Additional backup storage (5 TB)"
us east 1,Amazon EC2,0,743.6,8923.2,USD,"Operating system (Linux), Quantity (16), Storage for each EC2 instance (Throughput Optimized HDD (st1)), Storage amount (100 GB), Instance type (t2.large)"
us east 1,Elastic Load Balancing,0,79.57,954.84,USD,Number of Application Load Balancers 
