Region,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
us east 1,Amazon Virtual Private Cloud (VPC),0,954.45,11453.4,USD,Number of NAT Gateways 
us east 1,S3 Standard,0,540.82,6489.84,USD,S3 Standard storage (10 TB per month)
us east 1,Data Transfer,0,0,0,USD,Data Transfer
us east 1,Amazon Virtual Private Cloud (VPC),0,1791.91,21502.92,USD,"Data Transfer, Data transfer cost (1791.91)"
us east 1,Amazon RDS for PostgreSQL,0,1985.882,23830.58,USD,"Quantity (2), Storage volume (Provisioned IOPS SSD (io1)), Provisioning IOPS (1000), Storage amount (2 TB per month), Instance type (db.t3.small), Additional backup storage (5 TB)"
us east 1,Amazon EC2,0,147.74,1772.88,USD,"Operating system (Linux), Quantity (12), Storage for each EC2 instance (Throughput Optimized HDD (st1)), Storage amount (40 GB), Instance type (t2.small)"
us east 1,Elastic Load Balancing,0,79.57,954.84,USD,Number of Application Load Balancers 
"I changed the EC2 Instance type/quantity and the RDS Instance type, and chose instance types with less compute/memory resources/storage.",,,,,,
